,index,circuit,loss,r_lac_ol,r_lac_oli,r_bad_oli,r_tl_ngl,r_tl_tetR_ngl,r_fl_prime_nml,ki_nml,r_tl_lnml,r_ar2_lnml,best_losses,best_loss_circuit
0,0,Negative Metabolic Loop,5.67195709704941,,,,,,8.515129966815033e-08,0.07935649603835755,,,5.67195709704941,Negative Metabolic Loop
1,1,Open Loop,107.91270543964406,6.233274201612962e-08,,,,,,,,,5.67195709704941,Negative Metabolic Loop
2,2,Open Loop,58.237973933637285,3.363952951175863e-08,,,,,,,,,5.67195709704941,Negative Metabolic Loop
3,3,Open Loop Intermediate,70.61370763182563,,1.4322820514672038e-08,9.163568030650892e-08,,,,,,,5.67195709704941,Negative Metabolic Loop
4,4,Open Loop Intermediate,29.227544922183974,,1.4582967993478826e-08,7.962019216947352e-09,,,,,,,5.67195709704941,Negative Metabolic Loop
5,5,Open Loop Intermediate,88.59458080802852,,3.566668232672496e-08,5.369462586778247e-08,,,,,,,5.67195709704941,Negative Metabolic Loop
6,6,Layered Negative Metabolic Loop,10.837142053727996,,,,,,,,9.48757979721045e-08,3.775152169596923e-08,5.67195709704941,Negative Metabolic Loop
7,7,Open Loop Intermediate,134.98451957570433,,6.116143311041226e-08,5.8199656933348465e-08,,,,,,,5.67195709704941,Negative Metabolic Loop
8,8,Negative Metabolic Loop,2.7561545173205784,,,,,,1.610193404627055e-08,0.10961160567950073,,,2.7561545173205784,Negative Metabolic Loop
9,9,Open Loop,110.9785620391417,6.410364793942966e-08,,,,,,,,,2.7561545173205784,Negative Metabolic Loop
10,10,Negative Metabolic Loop,6.750277225715115,,,,,,9.666629014495605e-08,0.099347091752467,,,2.7561545173205784,Negative Metabolic Loop
11,11,Negative Gene Loop,1.2059241734011477,,,,1.4567183704477914e-08,7.276713630301823e-09,,,,,1.2059241734011477,Negative Gene Loop
12,12,Negative Gene Loop,2.6627405332806644,,,,9.423399273837787e-08,7.330884220492814e-08,,,,,1.2059241734011477,Negative Gene Loop
