,index,circuit,loss,k1,k2,theta1,theta2,Circuit,best_losses,best_loss_circuit
0,0,"((0, 1, 0), (0, 0, 1))",53997575.745644994,2.4312256483627577,2.3513750870298256,5.867677672271304,8.57097200244507,Upstream Repression,100000.0,Initial
1,1,"((0, 1, 0), (1, 0, 0))",189363.65930481977,1.1724061507792443,0.048577870675293414,3.554580276002343,8.769719906741853,Dual Control,100000.0,Initial
2,2,"((0, 0, 1), (0, 0, 1))",54249684.01177566,1.925438285040727,1.2391340019023647,5.727162615969503,0.9736075136969852,Open Loop,100000.0,Initial
3,3,"((0, 0, 1), (0, 0, 1))",6037236.903104454,0.6423762014999748,0.2481457603500349,4.860612068065866,1.39862284533775,Open Loop,100000.0,Initial
4,4,"((0, 1, 0), (0, 0, 1))",8147455.10975148,2.3561618002252813,1.3708763228320902,1.4852712695493944,8.648316248290259,Upstream Repression,100000.0,Initial
5,5,"((0, 0, 1), (0, 0, 1))",204275462.3714757,3.736220786854619,0.38770991513828873,8.891062274902165,6.586715972260787,Open Loop,100000.0,Initial
6,6,"((0, 0, 1), (1, 0, 0))",150774497.31239268,3.209860902701432,1.3778831184405524,9.226731941223942,6.742327481776113,Downstream Activation,100000.0,Initial
7,7,"((0, 0, 1), (1, 0, 0))",64010594.59102364,2.0914800423402267,2.6750329783123594,0.8361912375589601,3.3597838619362026,Downstream Activation,100000.0,Initial
8,8,"((0, 1, 0), (1, 0, 0))",27695.420899995224,0.04677615102798139,1.7953264270489837,4.034218334664957,3.3012952819453987,Dual Control,27695.420899995224,Dual Control
9,9,"((0, 1, 0), (1, 0, 0))",23648.272189145133,0.47044453034172196,0.19583629486953716,0.8461364607719709,4.42145302962826,Dual Control,23648.272189145133,Dual Control
10,10,"((0, 1, 0), (1, 0, 0))",293057.9059705581,0.2374271892208027,4.619786916870173,2.0274772835774226,5.733747012844083,Dual Control,23648.272189145133,Dual Control
11,11,"((0, 0, 1), (1, 0, 0))",166878919.6139244,3.3769351581544296,4.390660220449638,1.0691157361801351,0.8967170584426777,Downstream Activation,23648.272189145133,Dual Control
12,12,"((0, 1, 0), (0, 0, 1))",3518935.2477383674,0.7017770019684321,1.8520603240099514,1.827138907785503,3.452739208898321,Upstream Repression,23648.272189145133,Dual Control
13,13,"((0, 1, 0), (1, 0, 0))",24651992.258667096,2.8883183996727655,3.0305667501672944,1.944593257675055,1.0763762148512328,Dual Control,23648.272189145133,Dual Control
14,14,"((0, 0, 1), (0, 0, 1))",283854933.2687506,4.404222267912614,3.1333023985155064,2.197038064691707,5.703820686017655,Open Loop,23648.272189145133,Dual Control
15,15,"((0, 0, 1), (1, 0, 0))",77506632.61582316,2.3014412908898465,2.570981051026469,7.003665845332145,5.979047194850632,Downstream Activation,23648.272189145133,Dual Control
16,16,"((0, 1, 0), (1, 0, 0))",432888.09162724664,3.069282135813198,1.1328357862966894,0.5847263557396971,4.178216763583074,Dual Control,23648.272189145133,Dual Control
17,17,"((0, 1, 0), (0, 0, 1))",45690990.24743799,1.9577085935575138,4.832385777758507,4.790346202754347,2.2838234976736116,Upstream Repression,23648.272189145133,Dual Control
18,18,"((0, 0, 1), (1, 0, 0))",140955421.10713038,4.556534666327633,0.11048170250789678,7.143234500441804,7.43715094751038,Downstream Activation,23648.272189145133,Dual Control
19,19,"((0, 1, 0), (1, 0, 0))",35489983.50514714,4.555855492364477,1.083519983406135,3.4189265464449488,0.04721626118287989,Dual Control,23648.272189145133,Dual Control
20,20,"((0, 1, 0), (1, 0, 0))",70426.7993097014,0.07111959715057198,2.364805408266775,7.837802865302441,3.579629258035615,Dual Control,23648.272189145133,Dual Control
21,21,"((0, 1, 0), (1, 0, 0))",4522497.2821114585,1.2491148092233864,0.4416384749305651,6.318093699313227,6.554363609546484,Dual Control,23648.272189145133,Dual Control
22,22,"((0, 1, 0), (1, 0, 0))",11978453.88570727,1.1391822042211759,2.2029322669391975,5.400167280945343,2.4042917258948218,Dual Control,23648.272189145133,Dual Control
23,23,"((0, 1, 0), (1, 0, 0))",1404.3175654943334,0.009701495068406549,3.55986177426586,9.278778181036994,2.4950780242218524,Dual Control,1404.3175654943334,Dual Control
24,24,"((0, 1, 0), (1, 0, 0))",43765705.906319305,1.851972338241252,3.701587972719316,9.800238060254877,1.7579853481488685,Dual Control,1404.3175654943334,Dual Control
25,25,"((0, 1, 0), (1, 0, 0))",4194995.193096088,0.5890858128223606,4.083732160461094,9.86060156694776,7.3047584275139865,Dual Control,1404.3175654943334,Dual Control
26,26,"((0, 1, 0), (1, 0, 0))",121935030.19778582,4.239154390239361,3.4819409573265854,7.543759133778414,4.973112877586194,Dual Control,1404.3175654943334,Dual Control
27,27,"((0, 1, 0), (1, 0, 0))",481987.481499174,2.108401565857707,4.898727444191813,0.06747608435372676,0.07181516663397502,Dual Control,1404.3175654943334,Dual Control
28,28,"((0, 1, 0), (0, 0, 1))",255987605.24013972,4.701441256356549,4.835548799534143,8.984928160857187,0.19692425690118576,Upstream Repression,1404.3175654943334,Dual Control
29,29,"((0, 1, 0), (1, 0, 0))",5904912.858693795,0.6780981550890437,2.910032454928965,8.522162334571364,2.7440834355815493,Dual Control,1404.3175654943334,Dual Control
30,30,"((0, 1, 0), (1, 0, 0))",13459935.56537405,3.791498815993089,4.324979808160975,1.6781430107171378,4.533789305913922,Dual Control,1404.3175654943334,Dual Control
31,31,"((0, 0, 1), (0, 0, 1))",50762.5883578472,0.05751908176742937,4.955728632640064,9.981344990103,9.965252623666348,Open Loop,1404.3175654943334,Dual Control
32,32,"((0, 1, 0), (0, 0, 1))",25885926.06282682,4.855831894356205,0.23354373744602963,9.546223225404944,6.082053256014976,Upstream Repression,1404.3175654943334,Dual Control
33,33,"((0, 0, 1), (0, 0, 1))",106182999.56745508,2.6937081271623544,4.719848781005918,0.1638335969027196,9.938390123504442,Open Loop,1404.3175654943334,Dual Control
34,34,"((0, 1, 0), (1, 0, 0))",29305731.69703785,1.6371229520631174,3.2476475726495764,5.788332622343517,1.31230716591802,Dual Control,1404.3175654943334,Dual Control
35,35,"((0, 1, 0), (1, 0, 0))",3356051.661195834,0.5552959734451494,1.7044157076624764,9.122365601493028,5.952836127341957,Dual Control,1404.3175654943334,Dual Control
36,36,"((0, 0, 1), (0, 0, 1))",29978917.06827446,1.4313440045758248,3.0054354731765858,7.089044683151791,3.1830944323331782,Open Loop,1404.3175654943334,Dual Control
37,37,"((0, 0, 1), (1, 0, 0))",53912.12708736676,0.060735147022596525,4.950967172628626,3.7049951558362624,9.944471340224162,Downstream Activation,1404.3175654943334,Dual Control
38,38,"((0, 1, 0), (0, 0, 1))",39511.98009544533,0.05086501669879562,3.5592510975593585,6.017554030457189,6.019601152757616,Upstream Repression,1404.3175654943334,Dual Control
39,39,"((0, 1, 0), (1, 0, 0))",36474921.70514192,2.464218840896255,4.096705234039636,6.448445537046835,8.099782055241734,Dual Control,1404.3175654943334,Dual Control
40,40,"((0, 1, 0), (1, 0, 0))",24043.419614134975,0.04787881377007097,2.7505263876780366,4.3532171927287475,9.959845820312257,Dual Control,1404.3175654943334,Dual Control
41,41,"((0, 0, 1), (1, 0, 0))",80639.70823483892,0.07426443664095705,0.22340454579333757,4.356028741364702,0.43285550790764216,Downstream Activation,1404.3175654943334,Dual Control
42,42,"((0, 0, 1), (0, 0, 1))",365490204.4820372,4.997599229305251,1.7592422089198654,2.509145498874996,7.5368555098744565,Open Loop,1404.3175654943334,Dual Control
43,43,"((0, 1, 0), (1, 0, 0))",54880.191674298294,0.9500891337771775,0.32236234743582237,0.6452758517298935,3.7403449171651517,Dual Control,1404.3175654943334,Dual Control
44,44,"((0, 1, 0), (0, 0, 1))",79705.34094011078,3.7079834669727854,0.13608011840628143,0.310231993874849,0.3953827136319834,Upstream Repression,1404.3175654943334,Dual Control
45,45,"((0, 0, 1), (1, 0, 0))",17784914.280118536,1.1024640338757274,3.9224085332035985,9.805623910828416,3.1461139384611094,Downstream Activation,1404.3175654943334,Dual Control
46,46,"((0, 1, 0), (1, 0, 0))",13195506.419813264,1.5686530114270905,3.6313202848183215,2.8997299343231155,2.639499287109543,Dual Control,1404.3175654943334,Dual Control
47,47,"((0, 0, 1), (0, 0, 1))",154030168.22462904,3.2443284623697353,3.9445706365747695,0.5333169057967595,3.716466673939559,Open Loop,1404.3175654943334,Dual Control
48,48,"((0, 1, 0), (1, 0, 0))",19364554.921031557,3.373565215866469,0.9383516973989399,4.624337311456072,5.411900832535761,Dual Control,1404.3175654943334,Dual Control
49,49,"((0, 1, 0), (0, 0, 1))",15567711.248265719,1.1679838765697799,3.5452232726059947,3.5711856388221803,9.188176318160686,Upstream Repression,1404.3175654943334,Dual Control
50,50,"((0, 0, 1), (1, 0, 0))",318656231.2821669,4.666444341480451,1.3312044905299558,2.5173721011381174,9.925496676796728,Downstream Activation,1404.3175654943334,Dual Control
