,circuit,loss,k1,k2,theta1,theta2,Circuit,best_losses,Best_Loss_Circuit
0,"((0, 1, 0), (1, 0, 0))",12116391.021281656,3.264698076881105,0.8037095135491579,4.106540999949949,6.310962916920061,Dual Control,1000.0,Initial
1,"((0, 0, 1), (0, 0, 1))",285207937.07934624,4.414743203469189,3.992612849675787,6.012127319747444,5.010612762145518,No Control,1000.0,Initial
2,"((0, 1, 0), (0, 0, 1))",88202983.7455748,3.120512176968473,4.950555290614842,3.884773578566381,5.9098941964609395,Upstream Repression,1000.0,Initial
3,"((0, 0, 1), (1, 0, 0))",286919597.2726782,4.427940362377817,0.46003527301812835,6.249445124858256,7.490683514795482,Downstream Activation,1000.0,Initial
4,"((0, 0, 1), (0, 0, 1))",175618962.22020015,3.4643064723854367,3.0959634786673056,7.133401409021645,8.21827838228758,No Control,1000.0,Initial
5,"((0, 1, 0), (0, 0, 1))",203374501.72518924,4.176982269015664,4.4357328514516405,8.912979678408208,5.339020856048732,Upstream Repression,1000.0,Initial
6,"((0, 1, 0), (0, 0, 1))",149207094.64357853,4.4638951955704265,1.6685419729083468,9.46758142248323,6.425811678396721,Upstream Repression,1000.0,Initial
7,"((0, 1, 0), (1, 0, 0))",1241147.7161585747,0.731210347630225,0.8827701910490048,3.222202217157911,6.226913475113953,Dual Control,1000.0,Initial
8,"((0, 0, 1), (0, 0, 1))",356987035.43212485,4.9390490323705025,2.9952346480957126,0.7582925077773336,8.10702741414411,No Control,1000.0,Initial
9,"((0, 1, 0), (0, 0, 1))",6199030.692949192,1.637080927955512,2.4399794661890453,0.9807542760234536,9.337641780438757,Upstream Repression,1000.0,Initial
10,"((0, 0, 1), (1, 0, 0))",147773109.30614978,3.1777909289008113,2.828732258444722,8.580054693966563,8.280697827342367,Downstream Activation,1000.0,Initial
11,"((0, 1, 0), (1, 0, 0))",206018788.06295362,4.540743393486604,3.6787692975548563,9.036480660723113,1.8019493340644175,Dual Control,1000.0,Initial
12,"((0, 0, 1), (1, 0, 0))",5002192.138768226,0.5846973880096932,3.671356428663173,2.2110083753327507,4.821074469412574,Downstream Activation,1000.0,Initial
13,"((0, 1, 0), (0, 0, 1))",100155177.72209376,2.9571124512147144,3.7507395712756813,7.3810463717198775,7.658476032358089,Upstream Repression,1000.0,Initial
14,"((0, 1, 0), (1, 0, 0))",267330.42945981846,1.0867073049152027,0.41886231377964717,1.6199096263065988,7.359760568542472,Dual Control,1000.0,Initial
15,"((0, 1, 0), (0, 0, 1))",50959670.43572076,4.209207718271644,0.6736419992311089,7.231988137519813,0.684466172234627,Upstream Repression,1000.0,Initial
16,"((0, 1, 0), (1, 0, 0))",42039042.08151143,2.3216835335512522,2.531869751827148,6.96651415875605,3.9356741996714213,Dual Control,1000.0,Initial
17,"((0, 1, 0), (0, 0, 1))",18375577.610901263,1.6035980903391147,1.356299672010347,4.648136441708249,8.447605233631284,Upstream Repression,1000.0,Initial
