,index,circuit,loss,k1,k2,theta1,theta2,Circuit,best_losses,best_loss_circuit
0,0,"((0, 1, 0), (0, 0, 1))",291513.89169722935,1.3287752762642173,2.1250974440611676,1.217328258295597,0.8783082954651372,Upstream Repression,100000.0,Initial
1,1,"((0, 1, 0), (0, 0, 1))",4325694.537744801,4.8318881446798,4.911406309736983,4.1065589904377635,6.295774890762405,Upstream Repression,100000.0,Initial
2,2,"((0, 1, 0), (0, 0, 1))",498396.6093045472,2.523824462409643,1.9014297346485933,0.6543486938883428,1.459976250318799,Upstream Repression,100000.0,Initial
3,3,"((0, 1, 0), (0, 0, 1))",1096695.300838046,2.406266882342225,1.5834712995299585,9.529227189590848,9.39283133026475,Upstream Repression,100000.0,Initial
4,4,"((0, 1, 0), (0, 0, 1))",3192900.407242112,4.132923375173804,2.596671586355762,7.294050967311682,5.0131388006002355,Upstream Repression,100000.0,Initial
5,5,"((0, 1, 0), (0, 0, 1))",2407957.6200090256,3.5499822437366766,3.9435370999445802,9.435143048612677,5.435435950861986,Upstream Repression,100000.0,Initial
6,6,"((0, 1, 0), (0, 0, 1))",2227.2599076553197,0.012856465518488014,4.37867563647543,2.75758003344248,0.15809123398698355,Upstream Repression,2227.2599076553197,Upstream Repression
7,7,"((0, 1, 0), (0, 0, 1))",311295.6174113979,1.279852597509304,1.4015512578994938,6.235351563842456,6.517571384817892,Upstream Repression,2227.2599076553197,Upstream Repression
8,8,"((0, 1, 0), (0, 0, 1))",2190473.4351783516,3.631619160893016,0.6622502920957806,8.403699716057002,1.9134555496068417,Upstream Repression,2227.2599076553197,Upstream Repression
9,9,"((0, 1, 0), (0, 0, 1))",530497.176932259,1.7267706379934946,0.9452684865316376,4.741132953416947,0.8923487455475836,Upstream Repression,2227.2599076553197,Upstream Repression
0,0,"((0, 0, 1), (1, 0, 0))",4353290.921304105,4.760958372478734,3.9525473603868275,5.0490258078738,9.011452743648741,Downstream Activation,100000.0,Initial
1,1,"((0, 0, 1), (1, 0, 0))",2423482.2448299495,3.5518988246150762,0.4861307525542719,9.72250339271519,1.4368749108543741,Downstream Activation,100000.0,Initial
2,2,"((0, 0, 1), (1, 0, 0))",670293.2690578158,1.8671884553066262,3.5801615283385173,4.211843498850482,5.626491637980091,Downstream Activation,100000.0,Initial
3,3,"((0, 0, 1), (1, 0, 0))",3848501.1016440885,4.476190373612818,4.332817111831388,9.764622064744156,4.553164056622323,Downstream Activation,100000.0,Initial
4,4,"((0, 0, 1), (1, 0, 0))",403426.40105899615,1.4483371165225098,0.8486315747367835,2.0476681505334673,5.828606961470226,Downstream Activation,100000.0,Initial
5,5,"((0, 0, 1), (1, 0, 0))",78010.98922518984,0.6359456616716175,0.8931411802283948,5.006273002144938,4.338902409839541,Downstream Activation,78010.98922518984,Downstream Activation
6,6,"((0, 0, 1), (1, 0, 0))",110005.15039849882,0.7554153506903253,3.6031967533590668,7.488889532025664,6.686730313387136,Downstream Activation,78010.98922518984,Downstream Activation
7,7,"((0, 0, 1), (1, 0, 0))",4403538.216956727,4.788311667745751,2.9904644220356422,7.521104451107481,7.047684673510846,Downstream Activation,78010.98922518984,Downstream Activation
8,8,"((0, 0, 1), (1, 0, 0))",525970.1733129036,1.6539076704790328,1.4127583884520232,1.576577910946373,8.094894716490224,Downstream Activation,78010.98922518984,Downstream Activation
9,9,"((0, 0, 1), (1, 0, 0))",1073114.2356232784,2.362900641288952,0.654056635710062,6.29700945810486,0.6629508613720047,Downstream Activation,78010.98922518984,Downstream Activation
0,0,"((0, 1, 0), (1, 0, 0))",3157931.0334766274,4.722216252557669,4.691634234653809,3.6866875084816697,2.3548315460137053,Dual Control,100000.0,Initial
1,1,"((0, 1, 0), (1, 0, 0))",2020349.9045197538,4.1810407976875625,2.686374616910466,6.887154944541429,9.532148129562712,Dual Control,100000.0,Initial
2,2,"((0, 1, 0), (1, 0, 0))",365774.16885736265,3.743960460556499,3.010261314600675,1.3797976469667885,4.862190678976035,Dual Control,100000.0,Initial
3,3,"((0, 1, 0), (1, 0, 0))",2332400.602022752,3.8217932407822417,3.052117674052051,8.33541712774682,5.289023963533036,Dual Control,100000.0,Initial
4,4,"((0, 1, 0), (1, 0, 0))",32620.637967074646,0.6734874286886051,0.8288477588767064,2.85042532158171,6.887457392632323,Dual Control,32620.637967074646,Dual Control
5,5,"((0, 1, 0), (1, 0, 0))",1894274.491517498,4.9344275630343395,3.6857252919146584,2.5904985414048527,3.8606815548742026,Dual Control,32620.637967074646,Dual Control
6,6,"((0, 1, 0), (1, 0, 0))",1228337.1473359456,3.9859877750075503,0.33750155066212795,6.000600898959053,3.5080945502603207,Dual Control,32620.637967074646,Dual Control
7,7,"((0, 1, 0), (1, 0, 0))",94986.7388962677,4.120957819420866,0.017934777441092745,6.880488876054645,7.441071431952658,Dual Control,32620.637967074646,Dual Control
8,8,"((0, 1, 0), (1, 0, 0))",1001608.5352074247,2.3146932323164333,2.684859274399837,8.293212063680656,1.0658691707029893,Dual Control,32620.637967074646,Dual Control
9,9,"((0, 1, 0), (1, 0, 0))",308.2501261813574,0.03672777906349621,4.191444755226066,7.546019510228586,2.6775826790606123,Dual Control,308.2501261813574,Dual Control
0,0,"((0, 0, 1), (0, 0, 1))",2114015.6144558336,3.3166558008832436,1.9647742973838405,8.018430124980723,9.190296141021252,Open Loop,100000.0,Initial
1,1,"((0, 0, 1), (0, 0, 1))",29665.51682739207,0.3851132359103975,2.025050538063867,9.935753050659011,8.754655577478793,Open Loop,29665.51682739207,Open Loop
2,2,"((0, 0, 1), (0, 0, 1))",3382777.360689181,4.195934498901011,2.776584716661941,3.7880294700648074,1.7936584514591674,Open Loop,29665.51682739207,Open Loop
3,3,"((0, 0, 1), (0, 0, 1))",815243.0163964303,2.0589821797305996,1.0722542808094255,2.035979894836117,3.5966112682681284,Open Loop,29665.51682739207,Open Loop
4,4,"((0, 0, 1), (0, 0, 1))",2209849.0820334344,3.3910811694365823,1.916428835493543,2.7283618772853027,4.949547680562627,Open Loop,29665.51682739207,Open Loop
5,5,"((0, 0, 1), (0, 0, 1))",3418078.143480124,4.21756293968498,3.701042170731321,6.617078710294018,5.4637788041021205,Open Loop,29665.51682739207,Open Loop
6,6,"((0, 0, 1), (0, 0, 1))",1008620.9585779662,2.2907088850493587,0.6213417231224789,5.499731098074427,7.7193332023942665,Open Loop,29665.51682739207,Open Loop
7,7,"((0, 0, 1), (0, 0, 1))",77463.33881444455,0.6291591391874847,2.3597619973401747,1.1320064230796267,8.15143588979125,Open Loop,29665.51682739207,Open Loop
8,8,"((0, 0, 1), (0, 0, 1))",2159633.4906626726,3.3520155119268207,2.6989528582026683,8.775544736579509,2.3134196276108416,Open Loop,29665.51682739207,Open Loop
9,9,"((0, 0, 1), (0, 0, 1))",918018.122112475,2.1828815821941334,4.728165072640387,4.99519845465911,2.114756267417869,Open Loop,29665.51682739207,Open Loop
0,0,"((0, 1, 0), (0, 0, 1))",65683408.9597422,4.300683269053595,4.06858893862539,5.964673344691376,4.400903402978634,Upstream Repression,100000.0,Initial
