,Method,Computational Time,Best Loss,Function Evaluations,Message
0,Gradient-Based,11.324426174163818,0.2198902699298278,270.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,0.9109671115875244,0.3675583295997511,20.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,0.838325023651123,0.41375289341535965,20.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,1.9142191410064697,0.1369215655292036,50.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,2.050503969192505,0.10163836167472683,60.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,5.081258058547974,0.06605126167710015,155.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,9.377302169799805,0.06820797237172352,285.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,5.987773895263672,0.0741351090407603,170.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,12.645310878753662,0.07501742386960798,360.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,8.119292974472046,0.08816159316718544,180.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,1.4827837944030762,0.07228636753613897,45.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,15.618052005767822,0.06620891747859303,450.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,2.661890983581543,0.10071087942750709,60.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,10.485857009887695,0.06489043432304706,320.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,7.6374359130859375,0.22892761957008767,195.0,Linear search failed
0,Gradient-Based,1.0528838634490967,0.19811287913229056,25.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,3.7266769409179688,0.11943741672628722,95.0,Converged (|x_n-x_(n-1)| ~= 0)
0,Gradient-Based,0.7751419544219971,0.12773783471646918,20.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,4.9342639446258545,0.0781549158538529,135.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,17.43519687652588,0.10510358007971107,480.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,4.500842094421387,0.16436006176601706,115.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,3.2077808380126953,0.06997491284534463,85.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,6.647119045257568,0.06922138865604083,190.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,2.9060490131378174,0.06990683600716789,85.0,Converged (|x_n-x_(n-1)| ~= 0)
0,Gradient-Based,10.038971900939941,0.09015384137539188,290.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,0.7642397880554199,0.3146352398594447,20.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,4.519420146942139,0.07513526982539397,125.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,11.925559997558594,0.06883698846797912,335.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,1.1793551445007324,0.3285842833922372,40.0,Converged (|x_n-x_(n-1)| ~= 0)
0,Gradient-Based,1.2587687969207764,0.11514828671314761,45.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,17.63331913948059,0.09642611506231208,500.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,9.296258926391602,0.07742199395126086,240.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,9.322396039962769,0.11859629164518744,220.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,6.629410266876221,0.07001958087185067,185.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,0.6619551181793213,0.0801464975313819,20.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,2.5852580070495605,0.5082698574684468,60.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,17.712249040603638,0.07829436082233994,505.0,Max. number of function evaluations reached
0,Gradient-Based,8.76003098487854,0.09093328607208419,215.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,7.659980058670044,0.07781099276461059,225.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,3.9359538555145264,0.06711559799299918,105.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,4.844998121261597,0.09119631983607879,120.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,0.7947371006011963,0.11600582423721084,20.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,0.6726858615875244,0.08024234382397388,20.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,11.156124830245972,0.07894802306529716,300.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,4.461488723754883,0.10620542303816989,130.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,2.1912248134613037,0.09988697008751321,65.0,Converged (|x_n-x_(n-1)| ~= 0)
0,Gradient-Based,5.732831954956055,0.08082431113868195,165.0,Converged (|f_n-f_(n-1)| ~= 0)
0,Gradient-Based,5.495609998703003,0.0724660871599509,150.0,Converged (|f_n-f_(n-1)| ~= 0)
