,circuit,num_samples,loss,k1_trace,k2_trace,n1_trace,n2_trace,theta1_trace,theta2_trace,time
0,No Control,100,0.4045242781497661,0.00021032448700041218,0.0005576681795921464,2.0,2.0,6.773349627155946,4.363265233290402,3.7683331966400146
1,No Control,100,0.6388059820909806,0.0005554615701103295,0.0006243016369099859,2.0,2.0,7.126185501853914,4.076630523551571,3.7683331966400146
2,No Control,100,0.8201195658797938,0.000889715327925844,0.0006376515405714687,2.0,2.0,7.062647981477167,5.808186176911464,3.7683331966400146
3,No Control,100,0.42327013613899583,8.392355950244034e-05,0.0007358681789907541,2.0,2.0,5.370558904774789,2.0618394160607605,3.7683331966400146
4,No Control,100,0.7113842991141159,0.0007573384153554037,0.0005630752871858384,2.0,2.0,0.13393907901662852,8.143383507991253,3.7683331966400146
5,No Control,100,0.6131199002900432,0.000887278579651953,0.00027303184926297176,2.0,2.0,2.0673698930732956,4.4372349125989725,3.7683331966400146
6,No Control,100,1.024154217463251,0.0009182449987482829,0.000987415998097754,2.0,2.0,8.886022527267787,7.185095278534338,3.7683331966400146
7,No Control,100,0.8616653101543537,0.0009929005765903283,0.0006183417770730843,2.0,2.0,0.6935011574353165,2.6241034243949377,3.7683331966400146
8,No Control,100,0.5413785561751032,0.00035125503435834226,0.0006670239251869919,2.0,2.0,2.510032475882068,5.576547934894657,3.7683331966400146
9,No Control,100,0.49713225909328845,0.00029716077182079514,0.0006414835094831144,2.0,2.0,8.234316509985701,5.531458639166409,3.7683331966400146
10,No Control,100,0.7980647963381357,0.0005111472694272041,0.000996884640181125,2.0,2.0,3.0986460856061715,0.8044732876008859,3.7683331966400146
11,No Control,100,0.7074407497525549,0.0008298937349337188,0.0004901878439547527,2.0,2.0,1.7094907838691267,3.9921059947586204,3.7683331966400146
12,No Control,100,0.6435089466186098,0.0006373177866221776,0.0005511394597390985,2.0,2.0,7.34894525368855,8.70566253852478,3.7683331966400146
13,No Control,100,0.23004513658918121,0.00014761274607970443,0.00028099038498758316,2.0,2.0,5.4069955019634985,5.688648290074904,3.7683331966400146
14,No Control,100,0.5691130498801785,0.0007920872514621546,0.0002801954583400233,2.0,2.0,0.3596318120081714,9.115025266981744,3.7683331966400146
15,No Control,100,0.47536571011955914,0.0006744818483048434,0.00022095406244562992,2.0,2.0,7.291019918505601,0.19733761755924964,3.7683331966400146
16,No Control,100,0.20421228518931106,2.6951090482682907e-05,0.00029534386757345204,2.0,2.0,9.665262015207071,2.5080268452659698,3.7683331966400146
17,No Control,100,0.6860521341084446,0.00032079058126375273,0.0009921669676507588,2.0,2.0,1.7242474553835585,9.014057004773454,3.7683331966400146
18,No Control,100,0.5083993671520033,0.0007430405055952377,0.00021807377269027602,2.0,2.0,4.860129948697353,9.616522680912711,3.7683331966400146
19,No Control,100,0.20464229139354087,7.916823701496153e-05,0.0003027455917058364,2.0,2.0,5.701392669422299,8.281315859662987,3.7683331966400146
20,No Control,100,0.7493708903020175,0.0007831401004303288,0.0006077500120819382,2.0,2.0,3.1922241087633467,6.5303818132786375,3.7683331966400146
21,No Control,100,0.8784636921640461,0.0008437120420066793,0.0007861079015197474,2.0,2.0,5.125511568937647,5.633663383304825,3.7683331966400146
22,No Control,100,0.484658124664549,0.0008974840979193426,4.530552231787724e-05,2.0,2.0,9.305086787874863,6.5383699577590075,3.7683331966400146
23,No Control,100,0.07697304649527187,3.024713398276911e-05,4.881382747968785e-05,2.0,2.0,2.3299105622684397,4.406892372889371,3.7683331966400146
24,No Control,100,0.5667542103200279,0.0003033370502430182,0.0007737095821311133,2.0,2.0,3.1831411957299562,1.09739928503255,3.7683331966400146
25,No Control,100,0.23592098837161465,0.00012399458460999707,0.0003195413751875048,2.0,2.0,5.392970268851337,5.64124763035745,3.7683331966400146
26,No Control,100,0.48812656130045556,8.488240985156757e-05,0.000864708301176726,2.0,2.0,5.656864785378109,3.155274321131422,3.7683331966400146
27,No Control,100,0.9512492676702486,0.0009042913982684501,0.0008628405586403315,2.0,2.0,9.933650483933032,4.671263659833482,3.7683331966400146
28,No Control,100,0.7249745605611934,0.0006533115209530391,0.000686250368672147,2.0,2.0,0.49947972201235014,9.53876897372489,3.7683331966400146
29,No Control,100,0.7092104714481582,0.0004692273607059715,0.0008669105360202038,2.0,2.0,3.101038132864265,9.258961906737008,3.7683331966400146
30,No Control,100,0.5962042853932252,0.0007223844577919378,0.0003896474665469914,2.0,2.0,5.496290657989784,2.607267134839907,3.7683331966400146
31,No Control,100,0.4810295924384184,0.0003126964224061484,0.0005910264715893401,2.0,2.0,1.6928519182975437,0.6595121440362726,3.7683331966400146
32,No Control,100,0.9838871044060615,0.0009886818291708502,0.0008434407704690228,2.0,2.0,1.1650590928200544,2.8369353650977875,3.7683331966400146
33,No Control,100,0.6394553332800823,0.0004006685568425864,0.000806242643411022,2.0,2.0,5.22109109641822,7.936147411751945,3.7683331966400146
34,No Control,100,0.22401137017681655,0.0002938165301455358,0.00012136725637277631,2.0,2.0,7.682770025098865,0.7972232128169796,3.7683331966400146
35,No Control,100,0.609560127644734,0.000881289664630214,0.0002721056673898075,2.0,2.0,4.290605092004495,2.724320142364918,3.7683331966400146
36,No Control,100,0.5861115743086692,0.0008571470238109205,0.0002526257841887511,2.0,2.0,0.9248599194585652,0.9316848740599286,3.7683331966400146
37,No Control,100,0.6769783176826792,0.000701197413767913,0.000552626809675495,2.0,2.0,8.512641829109983,5.493402923252843,3.7683331966400146
38,No Control,100,0.3858004200528478,0.0005179009857972837,0.0002035270047190062,2.0,2.0,4.353675714414594,7.237454784508076,3.7683331966400146
39,No Control,100,0.4403949837402279,0.00031428543652718373,0.0005075436177627206,2.0,2.0,9.84372868030557,6.460868935400098,3.7683331966400146
40,No Control,100,0.7173594611684864,0.0009554950629824859,0.0003950618327788608,2.0,2.0,3.986776148832833,9.543813039485302,3.7683331966400146
41,No Control,100,0.6529493345121664,0.0007083953558107201,0.0005030487445160456,2.0,2.0,0.7764679375902206,3.6328694451818513,3.7683331966400146
42,No Control,100,0.5503705495892934,0.0007356480707792556,0.0002973411655339031,2.0,2.0,6.276620908513053,8.241798244938321,3.7683331966400146
43,No Control,100,0.400126186964186,0.0006653380983329728,0.00010053150094813287,2.0,2.0,6.438070082959226,4.7525937482305745,3.7683331966400146
44,No Control,100,0.516044153781739,0.0009417292703808966,1.431747044760258e-05,2.0,2.0,2.6446173987329935,5.574520845678391,3.7683331966400146
45,No Control,100,0.5140191617328005,0.00022795868738928512,0.0007562054734678702,2.0,2.0,6.446934661358488,6.711265362040331,3.7683331966400146
46,No Control,100,0.44750514467009,0.0003171332573559444,0.0005184915893077074,2.0,2.0,1.998481192043538,2.8987464825160307,3.7683331966400146
47,No Control,100,0.7656671976691367,0.0008068347341578872,0.0006153932785821482,2.0,2.0,2.779085470934101,6.79024879148033,3.7683331966400146
48,No Control,100,0.8244065276730008,0.0007312445985194727,0.000796741365239271,2.0,2.0,3.0437077676882494,0.2559177170877137,3.7683331966400146
49,No Control,100,0.4612877825405544,0.0002121720918377526,0.0006691308376318684,2.0,2.0,6.053095794282554,9.456895049958504,3.7683331966400146
50,No Control,100,0.5235363773566631,0.00018945557978385552,0.0008201720294509778,2.0,2.0,5.2323289483086075,5.897042578866565,3.7683331966400146
51,No Control,100,0.9853813660041744,0.0008782245141785148,0.0009542720350546235,2.0,2.0,7.366437374224424,1.7508537263914148,3.7683331966400146
52,No Control,100,0.8145543183414703,0.0009157007704431049,0.0006039582692429154,2.0,2.0,7.030943182487353,7.6451925284486055,3.7683331966400146
53,No Control,100,0.45960156582323247,0.0006274150775974906,0.00023495593710770273,2.0,2.0,6.797607354461976,5.133117990115629,3.7683331966400146
54,No Control,100,0.5718735153809219,0.0007847326499352576,7.464049982173202e-06,2.0,2.0,6.239589722863098,2.39981337860269,3.7683331966400146
55,No Control,100,0.33194658492222084,0.0003881444342523593,0.00022495037369969325,2.0,2.0,4.223767297327678,9.188465414682508,3.7683331966400146
56,No Control,100,0.7059262628362036,0.0009358138903918849,0.000392451243866392,2.0,2.0,5.119238170052663,1.4928704041886547,3.7683331966400146
57,No Control,100,0.5319598819811855,0.00043039636217659925,0.000555202828092988,2.0,2.0,8.154036098717338,9.397437391288896,3.7683331966400146
58,No Control,100,0.7849451417537598,0.0007605193550233767,0.0006930988637298841,2.0,2.0,8.109193212814496,4.257535989057392,3.7683331966400146
59,No Control,100,0.5939734463105416,0.0008251396672303102,0.0002943561565900825,2.0,2.0,7.653530527836528,8.546046451649978,3.7683331966400146
60,No Control,100,0.3782737738259669,3.435810178369664e-05,0.0006596727749733863,2.0,2.0,6.2318180889587245,2.4751088844661635,3.7683331966400146
61,No Control,100,0.9976088825271067,0.0009784546363259211,0.0008781149202465334,2.0,2.0,5.041641146199946,6.941176835094022,3.7683331966400146
62,No Control,100,0.17653261684077926,8.015642514677282e-05,0.0002456000904741828,2.0,2.0,5.410204088662795,8.670939015400082,3.7683331966400146
63,No Control,100,0.5881429928311332,0.0006756841769003418,0.00041736372500440256,2.0,2.0,7.22283905671008,3.342756598639765,3.7683331966400146
64,No Control,100,0.4386845415071515,0.0006210726822851655,0.00020438112595998396,2.0,2.0,4.025654887016817,1.333004482264709,3.7683331966400146
65,No Control,100,0.45976735380521716,0.0006205504489642579,0.00024128126095325145,2.0,2.0,6.304202711389877,8.274560223130536,3.7683331966400146
