,index,architecture,theta1,theta2,k1,k2,loss
0,0,Downstream Activation,0.001,0.001,1e-07,1e-07,0.49706612190080474
0,0,Downstream Activation,0.001,1.1119999999999999,1e-07,1e-07,0.4971240599081932
0,0,Downstream Activation,0.001,2.223,1e-07,1e-07,0.49718896923215083
0,0,Downstream Activation,0.001,3.334,1e-07,1e-07,0.49726649234381176
0,0,Downstream Activation,0.001,4.445,1e-07,1e-07,0.49735208402452064
0,0,Downstream Activation,0.001,5.556,1e-07,1e-07,0.497441837873881
0,0,Downstream Activation,0.001,6.667000000000001,1e-07,1e-07,0.4975329331876183
0,0,Downstream Activation,0.001,7.7780000000000005,1e-07,1e-07,0.4976234802534763
0,0,Downstream Activation,0.001,8.889,1e-07,1e-07,0.49771228541824536
0,0,Downstream Activation,0.001,10.0,1e-07,1e-07,0.49779862006777054
0,0,Downstream Activation,1.1119999999999999,0.001,1e-07,1e-07,0.49706612190080474
0,0,Downstream Activation,1.1119999999999999,1.1119999999999999,1e-07,1e-07,0.4971240599081932
0,0,Downstream Activation,1.1119999999999999,2.223,1e-07,1e-07,0.49718896923215083
0,0,Downstream Activation,1.1119999999999999,3.334,1e-07,1e-07,0.49726649234381176
0,0,Downstream Activation,1.1119999999999999,4.445,1e-07,1e-07,0.49735208402452064
0,0,Downstream Activation,1.1119999999999999,5.556,1e-07,1e-07,0.497441837873881
0,0,Downstream Activation,1.1119999999999999,6.667000000000001,1e-07,1e-07,0.4975329331876183
0,0,Downstream Activation,1.1119999999999999,7.7780000000000005,1e-07,1e-07,0.4976234802534763
0,0,Downstream Activation,1.1119999999999999,8.889,1e-07,1e-07,0.49771228541824536
0,0,Downstream Activation,1.1119999999999999,10.0,1e-07,1e-07,0.49779862006777054
0,0,Downstream Activation,2.223,0.001,1e-07,1e-07,0.49706612190080474
0,0,Downstream Activation,2.223,1.1119999999999999,1e-07,1e-07,0.4971240599081932
0,0,Downstream Activation,2.223,2.223,1e-07,1e-07,0.49718896923215083
0,0,Downstream Activation,2.223,3.334,1e-07,1e-07,0.49726649234381176
0,0,Downstream Activation,2.223,4.445,1e-07,1e-07,0.49735208402452064
